"","departamento","anio","proy","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","acr_tecp","acr_tecn","acr_univ","acr_espe","acr_maes","acr_doct","cobertura","gra_tecp","gra_tecn","gra_univ","gra_espe","gra_maes","gra_doct","oficial","privada"
"140","TOLIMA",2014,1404262," 2220","  634"," 1174","  342","   33","   37"," 1174","    0"," 1073","    6","   95"," 1455","  442"," 1013","  443","  306","   59","   39","   39"," 1932"," 1187","  745"," 1853","  894","  185","  774"," 1047","  435","    0","    2","  127","  483"," 1833","  488","  580","  765"," 3471"," 1446","  177","  748","  528","  441","   59","   72","15428","  964","16392",294,1,6.151,142,28,0,0.378,1.092,3.771,5.017,980,118,1,34.762,15.699
"141","VALLE DEL CAUCA",2010,4383277," 2826","  328"," 1501","  653","   44","  300","  143","    0","    0","   19","  124"," 9019"," 3050"," 5969"," 2045"," 1252","  146","  336","  311"," 2935"," 1474"," 1461"," 6141"," 3778","  733"," 1630"," 3791"," 2041","    4","  194","  336"," 1216","14012"," 2484"," 6751"," 4777"," 7722"," 2644"," 1107"," 1162"," 1168","  848","  313","  480","48634"," 4970","53604",0,3.785,44.586,1.796,2.564,281,0.318,653,2.942,9.465,1.967,552,23,73.254,60.787
"142","VALLE DEL CAUCA",2011,4428675," 3144","  371"," 1756","  680","   46","  291","  149","   14","    0","   10","  125"," 9303"," 3243"," 6060"," 2119"," 1287","  156","  353","  323"," 3120"," 1425"," 1695"," 6837"," 4289","  770"," 1778"," 3931"," 2025","    3","  206","  400"," 1297","15036"," 2689"," 7126"," 5221"," 8416"," 2933"," 1171"," 1249"," 1290","  936","  323","  514","52055"," 5682","57737",0,3.786,46.385,1.744,3.05,348,0.347,1.135,6.893,10.609,2.922,833,38,77.855,69.72
"143","VALLE DEL CAUCA",2012,4474369," 3002","  244"," 1644","  743","   51","  320","  169","    4","    0","   28","  137","10022"," 3283"," 6739"," 2233"," 1344","  167","  385","  337"," 3485"," 1778"," 1707"," 7254"," 4380","  873"," 2001"," 3977"," 1984","    2","  206","  418"," 1367","16256"," 3009"," 7568"," 5679"," 9212"," 3198"," 1247"," 1427"," 1491","  962","  337","  550","55610"," 5863","61473",1.454,4.373,53.111,2.127,3.219,359,0.344,2.021,8.229,11.3,2.883,1.102,36,75.759,72.105
"144","VALLE DEL CAUCA",2013,4520480," 3047","  281"," 1617","  767","   56","  326","  180","    1","    0","   25","  154","10236"," 3353"," 6883"," 2441"," 1442","  192","  433","  374"," 4585"," 2420"," 2165"," 7850"," 4691","  943"," 2216"," 4246"," 2070","    3","  235","  449"," 1489","17272"," 3210"," 8064"," 5998","10076"," 3623"," 1331"," 1513"," 1654"," 1006","  365","  584","59933"," 5664","65597",1.452,3.958,53.923,1.985,3.315,419,0.372,1.816,8.826,12.245,3.301,1.264,44,80.221,78.205
"145","VALLE DEL CAUCA",2014,4566875," 3422","  322"," 1785","  871","   59","  385","  187","    2","    0","   26","  159","10437"," 3493"," 6944"," 2596"," 1519","  213","  461","  403"," 4832"," 2385"," 2447"," 8565"," 5105"," 1036"," 2424"," 4625"," 2274","    3","  262","  503"," 1583","18731"," 3458"," 8589"," 6684","10907"," 3978"," 1419"," 1614"," 1841"," 1035","  393","  627","64302"," 6381","70683",1.61,4.546,54.855,2.197,3.266,444,0.391,1.638,8.964,11.424,2.597,1.235,59,87.651,78.273
"146","VICHADA",2010,63670,"  3","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  1","  1","  0","  2","  2","  0","  0","  0"," 10","  0"," 10"," 23","  9","  0"," 14"," 17","  0","  0","  6","  1"," 10","  9","  7","  1","  1"," 70"," 26","  0"," 25","  7","  7","  4","  1","135","  6","141",0,0,0,0,0,0,0.099,0,1,28,0,0,0,673,40
"147","VICHADA",2011,65282,"  3","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  1","  1","  0","  2","  2","  0","  0","  0"," 14","  0"," 14"," 25"," 10","  0"," 15"," 17","  0","  0","  5","  1"," 11"," 10","  8","  1","  1"," 80"," 28","  0"," 30","  9","  8","  4","  1","152","  8","160",0,0,0,0,0,0,0.081,21,37,7,2,0,0,569,56
"148","VICHADA",2012,66917,"  6","  0","  4","  0","  2","  0","  0","  0","  0","  0","  0","  1","  1","  0","  2","  2","  0","  0","  0"," 13","  0"," 13"," 27"," 10","  0"," 17"," 16","  0","  0","  5","  0"," 11"," 12"," 10","  1","  1"," 85"," 32","  0"," 29"," 11","  8","  4","  1","162","  8","170",0,0,48,0,0,0,0.114,2,64,11,1,0,0,815,51
"149","VICHADA",2013,68575,"  6","  0","  4","  0","  2","  0","  0","  0","  0","  0","  0","  1","  1","  0","  3","  3","  0","  0","  0"," 14","  0"," 14"," 29"," 11","  0"," 18"," 18","  0","  0","  6","  0"," 12"," 13"," 11","  1","  1"," 94"," 36","  0"," 33"," 12","  7","  5","  1","178"," 11","189",0,0,50,0,0,0,0.101,4,110,17,2,0,0,711,56
"150","VICHADA",2014,70260,"  8","  0","  5","  0","  3","  0","  0","  0","  0","  0","  0","  1","  1","  0","  3","  3","  0","  0","  0"," 16","  0"," 16"," 32"," 12","  0"," 20"," 18","  0","  0","  6","  0"," 12"," 14"," 12","  1","  1","100"," 38","  0"," 35"," 13","  8","  5","  1","192"," 12","204",0,0,44,0,0,0,0.083,0,130,10,15,0,0,588,50
